INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:30:31,139 - Root WebApplicationContext: initialization completed in 555 ms
INFO  [net.sf.ehcache.CacheManager@5043be99] net.sf.ehcache.util.UpdateChecker 2017-10-08 13:30:32,546 - This is the latest GA release.
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:33:03,045 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:30:30 BST 2017]; root of context hierarchy
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:33:03,045 - Closing org.springframework.web.context.support.GenericWebApplicationContext@63a896de: startup date [Sun Oct 08 13:30:31 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:33:03,045 - Shutting down EhCache CacheManager
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:34:15,425 - Root WebApplicationContext: initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:34:15,477 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:34:15 BST 2017]; root of context hierarchy
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:34:15,506 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [main] o.s.c.s.PropertySourcesPlaceholderConfigurer 2017-10-08 13:34:15,697 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 13:34:15,701 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:34:15,782 - Initializing EhCache CacheManager
ERROR [main] o.j.p.p.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 13:34:15,866 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [main] o.s.b.f.config.PropertiesFactoryBean 2017-10-08 13:34:15,881 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:34:15,890 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:34:15,893 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@81ca984: startup date [Sun Oct 08 13:34:15 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:34:16,010 - Root WebApplicationContext: initialization completed in 584 ms
INFO  [net.sf.ehcache.CacheManager@551e33c6] net.sf.ehcache.util.UpdateChecker 2017-10-08 13:34:17,063 - This is the latest GA release.
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:35:07,014 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:34:15 BST 2017]; root of context hierarchy
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:35:07,015 - Closing org.springframework.web.context.support.GenericWebApplicationContext@81ca984: startup date [Sun Oct 08 13:34:15 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:35:07,015 - Shutting down EhCache CacheManager
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:36:20,926 - Root WebApplicationContext: initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:36:20,979 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:36:20 BST 2017]; root of context hierarchy
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:36:21,008 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [main] o.s.c.s.PropertySourcesPlaceholderConfigurer 2017-10-08 13:36:21,174 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 13:36:21,179 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:36:21,260 - Initializing EhCache CacheManager
ERROR [main] o.j.p.p.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 13:36:21,345 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [main] o.s.b.f.config.PropertiesFactoryBean 2017-10-08 13:36:21,360 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:36:21,368 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:36:21,371 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@5de34f78: startup date [Sun Oct 08 13:36:21 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:36:21,489 - Root WebApplicationContext: initialization completed in 561 ms
INFO  [net.sf.ehcache.CacheManager@27e4aa0] net.sf.ehcache.util.UpdateChecker 2017-10-08 13:36:22,566 - This is the latest GA release.
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:38:05,747 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:36:20 BST 2017]; root of context hierarchy
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:38:05,748 - Closing org.springframework.web.context.support.GenericWebApplicationContext@5de34f78: startup date [Sun Oct 08 13:36:21 BST 2017]; parent: Root WebApplicationContext
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:38:05,749 - Shutting down EhCache CacheManager
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.web.context.ContextLoader 2017-10-08 13:38:53,512 - Root WebApplicationContext: initialization started
