INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 13:34:08,303 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:34:08,369 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:34:08,378 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@7fc1daac: startup date [Sun Oct 08 13:34:08 BST 2017]; parent: Root WebApplicationContext
ERROR [main] o.j.p.e.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 13:34:08,550 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:34:08,592 - Root WebApplicationContext: initialization completed in 663 ms
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:35:07,152 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:34:07 BST 2017]; root of context hierarchy
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:35:07,152 - Closing org.springframework.web.context.support.GenericWebApplicationContext@7fc1daac: startup date [Sun Oct 08 13:34:08 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:36:13,438 - Root WebApplicationContext: initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:36:13,490 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:36:13 BST 2017]; root of context hierarchy
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:36:13,518 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:36:13,728 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/casContext.xml]
INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 13:36:13,814 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:36:13,866 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:36:13,875 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@18c34745: startup date [Sun Oct 08 13:36:13 BST 2017]; parent: Root WebApplicationContext
ERROR [main] o.j.p.e.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 13:36:14,036 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:36:14,074 - Root WebApplicationContext: initialization completed in 635 ms
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:38:12,863 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:36:13 BST 2017]; root of context hierarchy
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:38:12,864 - Closing org.springframework.web.context.support.GenericWebApplicationContext@18c34745: startup date [Sun Oct 08 13:36:13 BST 2017]; parent: Root WebApplicationContext
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.web.context.ContextLoader 2017-10-08 13:38:45,264 - Root WebApplicationContext: initialization started
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:38:45,325 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:38:45 BST 2017]; root of context hierarchy
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:38:45,357 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:38:45,603 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/casContext.xml]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 13:38:45,715 - Loading properties file from class path resource [configuration.properties]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:38:45,778 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:38:45,786 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@fc64665: startup date [Sun Oct 08 13:38:45 BST 2017]; parent: Root WebApplicationContext
ERROR [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.j.p.e.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 13:38:45,970 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.web.context.ContextLoader 2017-10-08 13:38:46,010 - Root WebApplicationContext: initialization completed in 744 ms
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:39:51,294 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:38:45 BST 2017]; root of context hierarchy
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:39:51,295 - Closing org.springframework.web.context.support.GenericWebApplicationContext@fc64665: startup date [Sun Oct 08 13:38:45 BST 2017]; parent: Root WebApplicationContext
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.web.context.ContextLoader 2017-10-08 13:40:23,415 - Root WebApplicationContext: initialization started
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:40:23,477 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:40:23 BST 2017]; root of context hierarchy
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:40:23,509 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:40:23,760 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/casContext.xml]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 13:40:23,851 - Loading properties file from class path resource [configuration.properties]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:40:23,908 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:40:23,917 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@5039c0a7: startup date [Sun Oct 08 13:40:23 BST 2017]; parent: Root WebApplicationContext
ERROR [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.j.p.e.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 13:40:24,080 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.web.context.ContextLoader 2017-10-08 13:40:24,118 - Root WebApplicationContext: initialization completed in 702 ms
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:41:40,859 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:40:23 BST 2017]; root of context hierarchy
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:41:40,861 - Closing org.springframework.web.context.support.GenericWebApplicationContext@5039c0a7: startup date [Sun Oct 08 13:40:23 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:43:04,746 - Root WebApplicationContext: initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:43:04,809 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:43:04 BST 2017]; root of context hierarchy
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:43:04,840 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:43:05,055 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/casContext.xml]
INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 13:43:05,140 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:43:05,191 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:43:05,199 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@66edc22e: startup date [Sun Oct 08 13:43:05 BST 2017]; parent: Root WebApplicationContext
ERROR [main] o.j.p.e.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 13:43:05,364 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:43:05,403 - Root WebApplicationContext: initialization completed in 655 ms
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:46:45,436 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:43:04 BST 2017]; root of context hierarchy
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:46:45,436 - Closing org.springframework.web.context.support.GenericWebApplicationContext@66edc22e: startup date [Sun Oct 08 13:43:05 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:50:39,373 - Root WebApplicationContext: initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:50:39,425 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:50:39 BST 2017]; root of context hierarchy
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:50:39,453 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:50:39,664 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/casContext.xml]
INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 13:50:39,748 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:50:39,798 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:50:39,806 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@875feb: startup date [Sun Oct 08 13:50:39 BST 2017]; parent: Root WebApplicationContext
ERROR [main] o.j.p.e.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 13:50:39,971 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:50:40,010 - Root WebApplicationContext: initialization completed in 636 ms
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 14:03:00,010 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:50:39 BST 2017]; root of context hierarchy
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 14:03:00,011 - Closing org.springframework.web.context.support.GenericWebApplicationContext@875feb: startup date [Sun Oct 08 13:50:39 BST 2017]; parent: Root WebApplicationContext
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.web.context.ContextLoader 2017-10-08 14:03:29,921 - Root WebApplicationContext: initialization started
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 14:03:29,986 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 14:03:29 BST 2017]; root of context hierarchy
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 14:03:30,018 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 14:03:30,405 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/casContext.xml]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 14:03:30,499 - Loading properties file from class path resource [configuration.properties]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 14:03:30,565 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
